CL2;hey guys;*hey Tipi;2;3;2;2;
CL2;hey Jared;*hey Jared;4;1;1;1;
CL2;I guess you dont need the cable?;Ti indovino *dont necessitare il cavo?;3;3;4;3;{dont}[Missing apostrophe]
CL2;nope, wireless iw working fine;*nope, senza fili *iw lavorando bene;4;3;3;2;
CL2;great;Grande;1;1;1;1;
CL2;Pat, do you want to be the scribe?;*Pat,  vuoi essere il *scribe?;2;2;2;2;{to be}[Passive voice]
CL2;I already got my pad of paper out but what else do I need to do with this program?;Già ricevevo il mio *pad di #carta fuori ma #quanto più  necessito fare con questo programma?;4;3;2;2;
CL2;i think the program will store the log;*i Opina il programma @store il *log;4;3;3;3;{i}[Make I uppercase]
CL2;look this a way --->;Aspetto questo un modo #-#-#->;4;4;3;4;
CL2;yep;*yep;4;1;1;4;
CL2;yeah when you quit the program asks if you want to store the decisions and chat logs;Sì quando tu *quit il programma domanda se vuoi @store le decisioni e ciarla *logs;4;3;3;2;
CL2;ok cool;ok Fresco;4;4;3;3;
CL2;hmm, any idea if the rest of group 6  is on yet?  Should I maybe re-invite them?;*hmm, qualunque idea se il resto di gruppo 6  è in ancora?  Dovere io forse *re#-invitargli?;4;3;3;3;
CL2;THIS IS EXCITING;QUESTO sta ENTUSIASMANDO;3;3;2;3;
CL2;welcome to hawaii;*welcome A *hawaii;4;4;2;3;{hawaii}[Spelling]
CL2;I'm all alone :(;Sono tutto soltanto :(;3;4;3;3;
CL2;i want to write in triplicate;*i Vuole scrivere @in triplicate;4;3;2;2;{i}[Make I uppercase]
CL2;that's not fair;Quello non è giusto;1;2;2;1;
CL2;I am in Taiwan;Sono in Taiwan;1;1;1;1;
CL2;Hello, Taiwan person.;@Hello, persona di Taiwan.;3;2;1;2;
CL2;hello;@hello;4;4;1;4;
CL2;hi guys;ciao Tipi;2;3;1;2;
CL2;Hello.;@Hello.;4;4;1;4;
CL2;hello all;@hello Tutto;4;4;2;3;
CL2;I am straight from the hoods of suburban Honolulu.;Sono direttamente d'i @hood di suburbano *Honolulu.;4;3;3;2;
CL2;represent;Rappresenta;1;1;1;2;
CL2;Is everyone here?;È #tutti quanti #lì?;4;3;2;3;
CL2;so how many people are we missing?;@So quanta gente è #prpers mancando?;4;3;3;3;
CL2;I think Neal is still coming.;Opino Neal ancora sta venendo.;3;2;3;2;
CL2;I don;Io *don;1;1;4;1;
CL2;'t know where he is.;'*t Sapere dove è.;1;1;2;2;
CL2;He should be in the same room I'm in, but I don't see him.;Dovrebbe essere in la stessa sala sono @in, ma non gli vedo.;4;2;3;3;{should be}[Passive voice]
CL2;clarkn is neal;*clarkn È *neal;1;1;3;1;+{neal}[Spelling]
CL2;Yeah, I know.;Sì, so.;2;1;1;2;
CL2;jchiang is jack;*jchiang È *jack;1;1;1;1;{jchiang}[Spelling]
CL2;But he's not saying anything.;Ma non sta dicendo #qualsiasi cosa.;3;2;2;3;
CL2;I think I saw him in anoother room;Opino #que gli vidi in *anoother sala;4;3;3;3;{anoother}[Spelling]
CL2;Nor is he in this room.;Né è lui @in questa sala.;3;2;1;1;
CL2;chenl is Ryan@group6;*chenl È @Ryan@group6;1;1;1;1;+{Ryangroup6}[Spelling]
CL2;Oh, really?;@Oh, realmente?;2;1;1;2;
CL2;neal is not facing computer;*neal Non sta affrontando computer;4;2;2;3;{neal}[Spelling]
CL2;Well, he's not typing, at least.;Bene, non sta scrivendo, almeno.;1;2;1;1;
CL2;Slacker.;*Slacker.;4;1;1;4;
CL2;im here;*im #Lì;4;1;2;4;
CL2;Oh, there he is.;@Oh, lì è.;2;2;1;2;
CL2;hes reading off my screen;*hes Lettura del mio schermo;3;2;3;3;{hes}[Missing apostrophe]
CL2;but i think we are still waiting for someone;Ma *i opina ancora stiamo aspettando per qualcuno;3;2;2;2;{i}[Make I uppercase]
CL2;where is andrew;Dove è *andrew;1;1;1;1;{andrew}[Spelling]
CL2;the list looks a little short;La lista pare un #poco basso;3;2;3;2;
CL2;Andrew, right.;Andrew, bene.;1;1;2;2;
CL2;whos mcknightp?;*whos *mcknightp?;4;1;4;4;+{whos}[Missing apostrophe]
CL2;don't know but he is sittting next to me;Non sa ma è *sittting prossimo a me;3;2;3;3;{sittting}[Spelling]
